OTU,barcode01,barcode01_13,barcode01_46,barcode01_69,barcode02,barcode02_47,barcode02_70,barcode03,barcode03_48,barcode03_71,barcode04,barcode04_106,barcode04_49,barcode04_72,barcode05,barcode05_29,barcode05_50,barcode05_73,barcode06,barcode06_30,barcode06_51,barcode06_74,barcode07,barcode07_14,barcode07_31,barcode07_52,barcode07_75,barcode08,barcode08_15,barcode08_53,barcode08_76,barcode09,barcode09_16,barcode09_35,barcode09_54,barcode09_77,barcode09_92,barcode10,barcode10_36,barcode10_55,barcode10_78,barcode11,barcode11_17,barcode11_37,barcode11_56,barcode11_79,barcode11_93,barcode12,barcode12_18,barcode12_38,barcode12_57,barcode12_80,barcode12_94,barcode13_19,barcode13_58,barcode13_81,barcode13_95,barcode14_24,barcode14_39,barcode14_59,barcode14_82,barcode14_96,barcode15_20,barcode15_25,barcode15_40,barcode15_60,barcode15_83,barcode15_97,barcode16_41,barcode16_61,barcode16_84,barcode16_98,barcode17_21,barcode17_32,barcode17_62,barcode17_85,barcode18_22,barcode18_26,barcode18_33,barcode18_63,barcode18_86,barcode18_99,barcode19_100,barcode19_27,barcode19_64,barcode19_87,barcode20_101,barcode20_23,barcode20_28,barcode20_34,barcode20_88,barcode21_102,barcode21_42,barcode21_65,barcode21_89,barcode22_103,barcode22_43,barcode22_66,barcode22_90,barcode23_104,barcode23_44,barcode23_67,barcode23_91,barcode24_105,barcode24_45,barcode24_68
BOTU_1,66242,55348,68148,69087,52955,45337,99886,149261,52758,31126,136958,32170,54190,50934,52169,17850,37872,10619,14257,31455,43879,50057,39975,63202,37544,52640,76760,90681,19277,82712,39040,39481,79304,19360,43404,51240,51401,1086,8826,36316,31467,191263,51764,48753,46721,20905,72644,88364,58686,58640,77610,49012,76296,59294,40357,44713,91564,71583,30864,37840,47141,36015,26606,29021,12427,31696,65369,69121,29675,34625,51240,62942,57374,47652,51431,14847,34899,29994,21632,56554,123455,126935,60358,42935,73694,39198,48419,51108,21220,4903,18088,136865,102164,96626,47487,20198,50519,72063,53425,94886,63022,65760,48544,75024,37586,47028
BOTU_2,27560,11272,6719,16832,11613,7384,35754,4610,5443,8653,8305,15844,5361,2808,67123,17591,30690,3847,3415,7329,12957,3494,10579,5373,8078,28728,3612,40797,3118,3875,13466,104391,3718,28606,12449,34494,42289,30914,30257,13907,21019,28225,12938,11715,16523,8771,29298,8821,10094,2405,1292,7398,9356,10513,18927,6859,4803,14217,12485,21867,3617,16887,26403,14197,20121,24350,9467,18335,8893,23857,13188,6225,14021,13885,10644,10821,20658,21177,15529,17299,11302,11263,26563,18437,10496,8607,11081,10713,23397,4317,31820,3036,5142,638,7470,5744,46076,6968,6578,28738,17243,11631,14139,18148,17057,3837
BOTU_3,2740,44,1,3991,806,658,45065,2529,19,1085,724,8,44,215,389,5518,3166,53488,164809,825,0,108,30189,5,30,0,25,8133,2034,0,82,19602,20,220,3,402,13622,102445,1423,1,721,1560,1,39,14,2091,28,100630,1247,1006,0,60,11,2,0,53,26,2968,258,34,2,2152,9,1495,500,0,16,1103,41,0,83,36,12,6,27,124328,2,8626,600,88,1631,10,520,1914,13,1,5126,0,16337,1770,1,0,0,0,0,204,997,624,2,380,3,0,3,324,22,1
BOTU_4,27496,1103,237,1382,6469,1169,2950,6794,3942,2192,1431,7773,2099,1156,624,5355,7001,7497,1414,3647,3092,339,17661,286,4327,4194,1330,312,2282,515,1120,27,77,3053,314,35156,28038,34,6232,3482,58477,1054,1432,471,880,4342,17106,104,4527,94,1,2233,9669,530,1945,1034,1214,7800,214,218,588,2179,5577,9038,4295,1985,215,5636,3089,934,11822,7405,706,12,1274,80,17244,609,2058,1054,551,208,3146,13409,72,5119,6202,1199,3828,1396,1198,702,572,17,1398,1194,1423,163,2781,3366,263,184,2151,2691,4046,1231
BOTU_5,85,13,5,3488,75,8078,546,81,412,2929,114,129,1242,309,20,15871,1191,1208,1624,1203,10,17,762,29,187,0,8,265,14841,5,1308,410,61,1577,10,246,17746,5259,3071,12,105,166,751,221,116,979,249,95,44949,5166,0,69,1072,29,0,2398,60,415,1030,148,2,20651,191,537,13460,4,2,394,6032,7,12,77,2584,23,3,488,18,170,17574,132,54,48,11368,284,43,7,7839,3,2592,12300,11,5,0,0,2,214,934,678,6,400,2,4,73,179,84,18
BOTU_6,657,220,0,4362,104475,3,1821,980,15,79,258,52,7,69,130,133,93,1537,340,372,0,34,1121,58,33,0,18,3777,17,0,2122,293,8,36,253,851,1564,25872,12,1,9469,1156,0,24,31,845,87,2582,8,18,0,362,13,3,0,70,2,672,1,0,2,23,86,662,2,12,143,70,1,10,288,79,46,16,72,766,25,505,26,1,65,26,348,979,0,0,207,1,28305,1,1,0,0,0,0,0,15,3,0,146,0,0,51,10,1,0
BOTU_7,3820,1210,635,603,644,1476,973,227,2850,184,71,716,1980,215,493,752,7526,7291,612,2182,7887,918,599,1164,1532,3248,892,531,38,2732,607,66,1571,743,593,2827,1883,3,65,3333,5288,171,660,596,848,564,1529,72,781,1069,50,142,885,1669,122,133,298,441,2028,274,187,303,944,471,2508,1753,567,1715,6156,6168,1553,5364,571,584,4307,7,2679,179,165,412,587,392,3957,1843,697,4410,4114,396,554,84,1583,1291,2016,885,2483,909,280,8530,5347,2713,1610,6771,4387,2653,2912,9319
BOTU_8,1141,1175,313,398,4054,352,117,47,1091,144,60,1275,468,467,110,1090,3778,1798,255,986,1902,227,331,767,1162,682,273,97,250,412,434,6,408,457,995,2040,3134,10,343,1450,3079,71,200,400,288,1164,2450,152,1177,312,4,130,912,494,110,70,235,943,531,277,130,328,1951,558,1308,1397,1354,1170,3079,2973,2152,2764,2092,257,1016,8,2239,37,718,129,221,542,5777,1055,118,1728,1844,245,910,1132,725,391,952,174,961,406,433,1678,1225,1331,658,1070,1505,914,1290,1815
BOTU_9,64,22,1,977,192,893,385,62,75,127,55,29,114,29,26,557,849,468,133,1664,0,9,69,12,133,1,0,135,1745,0,28,192,8,482,0,21,3123,5552,8136,11,17,106,48,72,34,178,46,114,3172,161,0,10,16,3,0,260,22,160,885,31,1,15079,39,143,6372,0,3,77,1556,1,8,7,22,3,9,365,8,1664,916,200,38,12,3800,54,66,7,1483,2,314,11297,6,1,0,0,1,67,796,60,3,199,0,0,7,158,9,2
BOTU_10,322,76,0,1782,29713,6,888,344,12,31,106,20,9,31,40,46,78,658,148,129,1,8,574,23,6,0,13,1815,4,0,817,125,5,8,110,454,628,13506,4,1,4195,514,2,13,25,303,30,1046,2,14,0,177,12,0,0,26,0,332,0,0,1,11,46,295,3,4,53,25,0,2,102,29,38,6,49,368,17,258,13,1,43,21,101,505,0,0,80,0,13561,0,0,0,0,0,0,0,9,0,0,81,1,0,28,1,1,0
BOTU_11,0,4,6,1058,20,11812,60,12,367,1335,27,0,1160,16,4,1,2920,1767,2121,66,2,9,783,3,31,1,13,3,8457,3,25,1,1,81,0,994,351,14,1004,6,13,347,2,0,9,41,2,1,876,2,0,3,42,1,0,680,78,263,248,4,2,4220,0,482,2210,0,3,4,2431,3,1,32,2,2,0,4,0,1064,1370,78,42,59,15,17,83,10,42,0,105,1583,16,1,3,0,0,1941,2867,2376,4,488,4,1,3,70,40,22
BOTU_12,1255,19,0,297,418,66,123,22,3,10,26,58,4,159,61,5783,29,6809,197,1740,0,237,61,29,1624,0,16,147,2005,0,161,36,14,549,4,160,7092,286,652,1,4160,4,49,192,10,5890,100,1310,628,32,1,122,6,2,0,167,12,115,9,0,4,1701,45,76,166,0,35,319,33,0,67,24,32,11,2,265,32,209,576,2,31,6,2700,2181,5,1,2102,0,4163,404,4,6,0,0,0,5,50,3,0,58,0,0,0,16,2,0
BOTU_13,274,1497,173,2887,361,426,954,496,333,378,392,41,287,80,501,39,1470,6152,347,572,1717,409,238,821,910,877,740,941,8,859,355,25,569,57,104,2992,480,2,3,660,724,39,93,64,35,158,92,503,130,317,15,51,52,285,28,202,194,832,394,22,509,365,419,417,425,39,3406,840,243,558,233,323,711,594,507,2,185,270,39,35,132,376,1633,180,181,383,164,142,281,41,208,526,38,52,82,190,41,1462,530,276,954,518,754,283,80,3682
BOTU_14,422,221,207,224,440,237,1706,280,158,320,166,73,141,14,428,121,536,1914,609,283,1652,1665,468,1177,480,480,304,2281,49,1230,67,194,1513,222,88,525,555,43,43,325,369,267,175,102,59,71,189,1250,128,253,7,38,399,271,23,33,1248,65,194,68,68,146,639,44,350,98,424,861,107,195,177,1745,767,505,222,26,298,251,151,30,448,911,3307,306,70,98,1396,195,523,40,440,632,11,51,36,218,22,788,342,185,295,935,348,261,25,2180
BOTU_15,2036,318,3,130,3714,15,153,125,59,622,24,66,183,879,34,273,184,38,105,943,202,15,55,154,395,13,6,221,523,22,301,0,160,277,214,374,892,5,26,19,438,8,109,214,191,301,202,172,318,120,0,60,50,132,7,68,33,1448,1251,3,8,964,2977,292,3634,19,63,639,633,14,573,417,930,187,443,3,1147,0,147,30,52,53,2498,738,49,204,2133,54,251,13,63,129,6,1,5,119,183,293,105,521,38,4,267,342,25,10
