OUT,Dormain,Phylum,Class,Order,Family,genus,Species,Label
BOTU_1,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,Cetobacterium somerae,BOTU_1_Cetobacterium somerae
BOTU_2,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Plesiomonas,Plesiomonas shigelloides,BOTU_2_Plesiomonas shigelloides
BOTU_3,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus lactis,BOTU_3_Lactococcus lactis
BOTU_4,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium butyricum,BOTU_4_Clostridium butyricum
BOTU_5,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter freundii,BOTU_5_Citrobacter freundii
BOTU_6,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Hafniaceae,Edwardsiella,Edwardsiella tarda,BOTU_6_Edwardsiella tarda
BOTU_7,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium saudiense,BOTU_7_Clostridium saudiense
BOTU_8,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium disporicum,BOTU_8_Clostridium disporicum
BOTU_9,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,BOTU_9_Klebsiella pneumoniae
BOTU_10,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Hafniaceae,Edwardsiella,Edwardsiella hoshinae,BOTU_10_Edwardsiella hoshinae
BOTU_11,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus raffinolactis,BOTU_11_Lactococcus raffinolactis
BOTU_12,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,BOTU_12_Shigella flexneri
BOTU_13,Bacteria,Bacillota,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Faecalimicrobium,Faecalimicrobium dakarense,BOTU_13_Faecalimicrobium dakarense
BOTU_14,Bacteria,Bacillota,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Romboutsia,Romboutsia timonensis,BOTU_14_Romboutsia timonensis
BOTU_15,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Niameybacter,Niameybacter massiliensis,BOTU_15_Niameybacter massiliensis
BOTU_16,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Crenobacter,Crenobacter caeni,BOTU_16_Crenobacter caeni
BOTU_17,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter pasteurii,BOTU_17_Citrobacter pasteurii
BOTU_18,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter braakii,BOTU_18_Citrobacter braakii
BOTU_19,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter murliniae,BOTU_19_Citrobacter murliniae
BOTU_20,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia marmotae,BOTU_20_Escherichia marmotae
